
─── Fold 0/92 ───
[fold 3] epoch   50 | train    1.80 | val    1.67 | rotLSD   0.75
[fold 3] epoch   60 | train    1.70 | val    1.60 | rotLSD   0.74
[fold 3] epoch   70 | train    1.62 | val    1.51 | rotLSD   0.72
[fold 3] epoch   80 | train    1.53 | val    1.41 | rotLSD   0.66
[fold 3] epoch   90 | train    1.45 | val    1.30 | rotLSD   0.64
[fold 3] epoch  100 | train    1.36 | val    1.22 | rotLSD   0.62
[fold 3] epoch  110 | train    1.28 | val    1.14 | rotLSD   0.59
[fold 3] epoch  120 | train    1.22 | val    1.08 | rotLSD   0.60
[fold 3] epoch  130 | train    1.18 | val    1.04 | rotLSD   0.57
[fold 3] epoch  140 | train    1.15 | val    1.02 | rotLSD   0.57
[fold 3] epoch  150 | train    1.12 | val    1.01 | rotLSD   0.55
[fold 3] epoch  160 | train    1.10 | val    0.97 | rotLSD   0.55
[fold 3] epoch  170 | train    1.07 | val    0.95 | rotLSD   0.54
[fold 3] epoch  180 | train    1.06 | val    0.95 | rotLSD   0.54
[fold 3] epoch  190 | train    1.05 | val    0.94 | rotLSD   0.54
[fold 3] epoch  200 | train    1.04 | val    0.93 | rotLSD   0.55
[fold 3] epoch  210 | train    1.02 | val    0.91 | rotLSD   0.52
[fold 3] epoch  220 | train    1.01 | val    0.92 | rotLSD   0.54
[fold 3] epoch  230 | train    1.01 | val    0.92 | rotLSD   0.55
[fold 3] epoch  240 | train    1.01 | val    0.90 | rotLSD   0.54
[fold 3] epoch  250 | train    1.00 | val    0.94 | rotLSD   0.55
[fold 3] epoch  260 | train    0.99 | val    0.89 | rotLSD   0.53
[fold 3] epoch  270 | train    0.98 | val    0.90 | rotLSD   0.54
[fold 3] epoch  280 | train    0.98 | val    0.91 | rotLSD   0.55
[fold 3] epoch  290 | train    0.97 | val    0.88 | rotLSD   0.51
[fold 3] epoch  300 | train    0.98 | val    0.87 | rotLSD   0.51
[fold 3] epoch  310 | train    0.97 | val    0.89 | rotLSD   0.54
[fold 3] epoch  320 | train    0.97 | val    0.91 | rotLSD   0.55
[fold 3] epoch  330 | train    0.95 | val    0.88 | rotLSD   0.53
[fold 3] epoch  340 | train    0.95 | val    0.90 | rotLSD   0.53
[fold 3] epoch  350 | train    0.95 | val    0.90 | rotLSD   0.53
[fold 3] epoch  360 | train    0.94 | val    0.88 | rotLSD   0.52
[fold 3] epoch  370 | train    0.94 | val    0.84 | rotLSD   0.49
[fold 3] epoch  380 | train    0.95 | val    0.86 | rotLSD   0.51
[fold 3] epoch  390 | train    0.93 | val    0.88 | rotLSD   0.51
[fold 3] epoch  400 | train    0.93 | val    0.83 | rotLSD   0.51
[fold 3] epoch  410 | train    0.93 | val    0.84 | rotLSD   0.50
[fold 3] epoch  420 | train    0.93 | val    0.84 | rotLSD   0.52
[fold 3] epoch  430 | train    0.92 | val    0.85 | rotLSD   0.51
[fold 3] epoch  440 | train    0.91 | val    0.84 | rotLSD   0.50
[fold 3] epoch  450 | train    0.92 | val    0.84 | rotLSD   0.52
[fold 3] epoch  460 | train    0.91 | val    0.85 | rotLSD   0.51
[fold 3] epoch  470 | train    0.91 | val    0.88 | rotLSD   0.55
[fold 3] epoch  480 | train    0.92 | val    0.81 | rotLSD   0.50
[fold 3] epoch  490 | train    0.91 | val    0.80 | rotLSD   0.48
[fold 3] epoch  500 | train    0.91 | val    0.83 | rotLSD   0.50
[fold 3] epoch  510 | train    0.90 | val    0.84 | rotLSD   0.53
[fold 3] epoch  520 | train    0.90 | val    0.82 | rotLSD   0.50
[fold 3] epoch  530 | train    0.89 | val    0.82 | rotLSD   0.50
[fold 3] epoch  540 | train    0.89 | val    0.83 | rotLSD   0.51
[fold 3] epoch  550 | train    0.89 | val    0.83 | rotLSD   0.52
[fold 3] epoch  560 | train    0.89 | val    0.82 | rotLSD   0.50
[fold 3] epoch  570 | train    0.90 | val    0.83 | rotLSD   0.51
[fold 3] epoch  580 | train    0.89 | val    0.80 | rotLSD   0.49
[fold 3] epoch  590 | train    0.89 | val    0.85 | rotLSD   0.53
[fold 3] epoch  600 | train    0.88 | val    0.83 | rotLSD   0.51
[fold 3] epoch  610 | train    0.89 | val    0.81 | rotLSD   0.50
[fold 3] epoch  620 | train    0.89 | val    0.83 | rotLSD   0.52
[fold 3] epoch  630 | train    0.89 | val    0.82 | rotLSD   0.51
[fold 3] epoch  640 | train    0.89 | val    0.83 | rotLSD   0.52
[fold 3] epoch  650 | train    0.88 | val    0.84 | rotLSD   0.52
[fold 3] epoch  660 | train    0.88 | val    0.83 | rotLSD   0.51
[fold 3] epoch  670 | train    0.88 | val    0.83 | rotLSD   0.50
[fold 3] epoch  680 | train    0.88 | val    0.80 | rotLSD   0.52
[fold 3] epoch  690 | train    0.88 | val    0.85 | rotLSD   0.56
[fold 3] epoch  700 | train    0.87 | val    0.85 | rotLSD   0.54
[fold 3] epoch  710 | train    0.88 | val    0.84 | rotLSD   0.54
[fold 3] epoch  720 | train    0.87 | val    0.82 | rotLSD   0.50
[fold 3] epoch  730 | train    0.88 | val    0.83 | rotLSD   0.53
[fold 3] epoch  740 | train    0.87 | val    0.84 | rotLSD   0.51
